country,0
India,430
Sudan,427
Qatar,344
Belize,338
Saudi Arabia,321
Morocco,316
Kuwait,312
Bahrain,312
United Arab Emirates,300
Iraq,290
Somalia,278
Thailand,251
Indonesia,242
Iceland,215
Myanmar,212
Vietnam,211
Iran,206
New Zealand,196
Micronesia,196
Guinea,195
Marshall Islands,194
Saint Kitts and Nevis,193
Jordan,188
Saint Vincent and the Grenadines,175
Samoa,175
Tajikistan,172
Malaysia,165
Brazil,164
Tonga,163
Djibouti,162
Niger,159
El Salvador,158
Belgium,157
Antigua and Barbuda,157
Turkey,156
Oman,156
Bolivia,156
Nepal,155
Chad,152
Azerbaijan,150
Uzbekistan,149
Bangladesh,148
Turkmenistan,145
Bulgaria,144
Sri Lanka,140
Egypt,139
Guyana,138
Barbados,137
Syria,134
Pakistan,134
Chile,132
Sierra Leone,130
Tuvalu,129
Philippines,126
Maldives,125
Cyprus,124
Brunei Darussalam,118
Ghana,118
Cambodia,117
Palau,115
Denmark,113
Costa Rica,111
Cameroon,110
Panama,105
Papua New Guinea,103
Malta,103
Burkina Faso,102
Honduras,102
Guatemala,102
Norway,98
Guinea-Bissau,97
Bahamas,97
Congo,97
Greece,96
Madagascar,96
Japan,92
Suriname,91
Democratic Republic of Congo,91
Seychelles Islands,91
Kazakhstan,89
Ethiopia,88
Bhutan,86
Macedonia,85
Liberia,85
Estonia,84
Comoros,83
Liechtenstein,83
Venezuela,82
Saint Lucia,82
Nigeria,79
Singapore,77
Senegal,77
Cape Verde,77
Kyrghyzstan,76
Uruguay,74
Montenegro,74
Luxembourg,73
Finland,72
Equatorial Guinea,71
Central African Republic,71
Vanuatu,68
Argentina,67
Timor-Leste,67
Tunisia,67
Netherlands,66
Mauritius,65
Mali,65
Grenada,64
Trinidad and Tobago,64
Bosnia and Herzegovina,63
Albania,63
Belarus,62
Canada,61
Romania,58
Ireland,58
Serbia,58
Israel,57
Italy,57
Vatican City,56
Lithuania,55
Solomon Islands,55
Croatia,54
Spain,54
South Korea,54
Armenia,53
China,53
Cuba,52
Portugal,51
North Korea,51
San Marino,50
Gabon,50
Namibia,50
Kiribati,50
Gambia,50
Hungary,50
Slovakia,50
Ecuador,46
Paraguay,46
Mauritania,46
France,44
Russia,44
Algeria,43
Nicaragua,43
Rwanda,43
Slovenia,42
Switzerland,42
Ukraine,42
Czech Republic,41
Germany,41
Dominica,41
Andorra,40
Poland,40
Fiji Islands,40
Austria,40
United Kingdom,40
Yemen,39
Zambia,38
Lebanon,37
Uganda,37
United States of America,37
Latvia,37
Lesotho,36
Kenya,34
Burundi,34
Afghanistan,33
Botswana,33
Georgia,32
Benin,32
Sweden,32
Mongolia,29
Eritrea,28
Monaco,28
Mozambique,28
Australia,26
Dominican Republic,25
Jamaica,24
Zimbabwe,22
South Africa,21
Angola,20
Malawi,19
Swaziland,16
Mexico,15
Tanzania,14
Haiti,13
Cote d'Ivoire,9
Libya,1
Jemen,1
Lao People's Democratic Republic,1
Letonia,1
Inde,1
Marrocos,1
Malásia,1
Saudi Arabien,1
Polônia,1
USA United States of America,1
Turkménistan,1
Гватемала,1
كولومبيا,1
